HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
1172	27	Italian	Italy-Bergamo	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1172	27	Italian	0.002	0.993	0.002	0.001	0.001
1173	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1173	27	Italian	0.002	0.995	0.002	0.001	0.001
1174	27	Italian	Italy-Bergamo	EUROPE	m	1	1	1	1	1	1	1	0	1	1	1174	27	Italian	0.001	0.997	0.001	0.001	0.001
1177	27	Italian	Italy-Bergamo	EUROPE	f	1	1	1	1	1	1	1	0	1	1	1177	27	Italian	0.004	0.992	0.002	0.002	0.001
1179	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1179	619	Yi	0	0.001	0.994	0.004	0.001
1180	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1180	619	Yi	0.001	0.004	0.992	0.002	0.001
1181	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1181	619	Yi	0.002	0.009	0.977	0.003	0.009
1182	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1182	619	Yi	0.001	0.001	0.991	0.001	0.006
1183	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1183	619	Yi	0.004	0.01	0.953	0.005	0.027
1184	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1184	619	Yi	0.007	0.009	0.969	0.005	0.01
1185	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1185	619	Yi	0.003	0.02	0.974	0.001	0.002
1186	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1186	619	Yi	0.005	0.009	0.973	0.01	0.003
1187	619	Yi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1187	619	Yi	0.022	0.001	0.969	0.001	0.006
1188	619	Yi	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1188	619	Yi	0.003	0.016	0.959	0.013	0.009
1189	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1189	612	Miao	0.001	0.001	0.995	0.001	0.002
1190	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1190	612	Miao	0.001	0.001	0.956	0.041	0.001
1191	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1191	612	Miao	0.001	0.004	0.991	0.002	0.003
1192	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1192	612	Miao	0.001	0.005	0.992	0.002	0.001
1193	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1193	612	Miao	0.001	0.001	0.983	0.001	0.014
1194	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1194	612	Miao	0.002	0.002	0.992	0.002	0.001
1195	612	Miao	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1195	612	Miao	0.001	0.001	0.995	0.002	0.001
1196	612	Miao	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1196	612	Miao	0.008	0.011	0.936	0.043	0.002
1197	612	Miao	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1197	612	Miao	0.001	0.003	0.967	0.009	0.021
1198	612	Miao	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1198	612	Miao	0.001	0.003	0.99	0.001	0.005
1199	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1199	464	Mandenka	0.99	0.004	0.002	0.002	0.002
1200	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1200	464	Mandenka	0.874	0.073	0.04	0.003	0.011
1201	464	Mandenka	Senegal	AFRICA	f	1	1	1	1	1	1	1	0	1	1	1201	464	Mandenka	0.944	0.047	0.003	0.004	0.002
1202	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1202	464	Mandenka	0.989	0.003	0.003	0.002	0.003
1203	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	0	0	0	1	1	1203	613	Oroqen	0.001	0.001	0.994	0.002	0.002
1204	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1204	613	Oroqen	0.001	0.006	0.979	0.004	0.01
1205	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1205	613	Oroqen	0.003	0.016	0.977	0.002	0.002
1206	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1206	613	Oroqen	0.002	0.024	0.952	0.002	0.02
1207	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1207	613	Oroqen	0.001	0.016	0.965	0.001	0.017
1208	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1208	613	Oroqen	0.003	0.008	0.978	0.002	0.01
1209	613	Oroqen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1209	613	Oroqen	0.001	0.001	0.892	0.001	0.105
1210	613	Oroqen	China	EAST_ASIA	m	1	1	1	1	1	0	0	0	0	0	1210	613	Oroqen	0	0.001	0.995	0.001	0.003
1211	613	Oroqen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1211	613	Oroqen	0.001	0.045	0.934	0.007	0.013
1212	613	Oroqen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1212	613	Oroqen	0.005	0.152	0.834	0.001	0.008
1213	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1213	607	Daur	0.002	0.009	0.903	0.004	0.081
1214	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1214	607	Daur	0.001	0.052	0.942	0.002	0.003
1215	607	Daur	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1215	607	Daur	0.003	0.038	0.945	0.007	0.006
1216	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1216	607	Daur	0.001	0.014	0.975	0.003	0.007
1217	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1217	607	Daur	0.001	0.074	0.918	0.002	0.005
1218	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1218	607	Daur	0.001	0.002	0.983	0.001	0.013
1219	607	Daur	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1219	607	Daur	0.001	0.001	0.992	0.001	0.004
1220	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1220	607	Daur	0.001	0.022	0.965	0.01	0.002
1221	607	Daur	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1221	607	Daur	0.002	0.002	0.992	0.001	0.002
1222	607	Daur	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1222	607	Daur	0.021	0.005	0.949	0.024	0.001
1223	622	Mongola	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1223	622	Mongola	0.005	0.028	0.814	0.002	0.151
1224	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1224	622	Mongola	0.006	0.053	0.916	0.006	0.019
1225	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1225	622	Mongola	0.001	0.007	0.906	0.073	0.013
1226	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1226	622	Mongola	0.007	0.138	0.848	0.004	0.002
1227	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1227	622	Mongola	0.004	0.024	0.969	0.002	0.001
1228	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1228	622	Mongola	0.001	0.011	0.975	0.002	0.011
1229	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1229	622	Mongola	0.001	0.108	0.887	0.001	0.003
1230	622	Mongola	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1230	622	Mongola	0.001	0.02	0.957	0.001	0.021
1231	622	Mongola	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1231	622	Mongola	0.002	0.006	0.985	0.003	0.004
1232	622	Mongola	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1232	622	Mongola	0.002	0.028	0.954	0.008	0.008
1233	608	Hezhen	China	EAST_ASIA	m	1	1	1	0	1	1	1	0	1	1	1235	608	Hezhen	0.001	0.005	0.99	0.002	0.003
1234	608	Hezhen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1234	608	Hezhen	0.002	0.006	0.984	0.001	0.007
1235	608	Hezhen	China	EAST_ASIA	m	1	1	1	0	0	NA	NA	NA	0	0	1233	608	Hezhen	0.001	0.004	0.99	0.002	0.003
1236	608	Hezhen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1236	608	Hezhen	0.001	0.001	0.99	0.007	0.001
1237	608	Hezhen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1237	608	Hezhen	0.001	0.005	0.97	0.003	0.02
1238	608	Hezhen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1238	608	Hezhen	0.002	0.017	0.973	0.003	0.005
1239	608	Hezhen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1239	608	Hezhen	0.001	0.003	0.993	0.002	0.002
1240	608	Hezhen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1240	608	Hezhen	0.001	0.002	0.993	0.001	0.004
1241	608	Hezhen	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1241	608	Hezhen	0.001	0.005	0.972	0.015	0.007
1242	608	Hezhen	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1242	608	Hezhen	0.002	0.004	0.989	0.002	0.003
1243	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1243	618	Xibo	0.001	0.313	0.675	0.001	0.01
1244	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1244	618	Xibo	0.001	0.018	0.957	0.002	0.022
1245	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1245	618	Xibo	0	0.003	0.992	0.002	0.002
1246	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1246	618	Xibo	0.001	0.006	0.979	0.006	0.008
1247	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1247	618	Xibo	0.002	0.066	0.851	0.003	0.078
1248	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1248	618	Xibo	0.001	0.01	0.972	0.011	0.006
1249	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1249	618	Xibo	0.001	0.002	0.991	0.001	0.005
1250	618	Xibo	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1250	618	Xibo	0.001	0.109	0.84	0.002	0.048
1251	618	Xibo	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1251	618	Xibo	0.004	0.005	0.975	0.016	0.001
1253	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1253	34	Mozabite	0.178	0.812	0.008	0.002	0.001
1254	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1254	34	Mozabite	0.212	0.778	0.005	0.002	0.002
1255	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1255	34	Mozabite	0.212	0.781	0.002	0.003	0.002
1256	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1256	34	Mozabite	0.192	0.803	0.002	0.002	0.001
1257	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1257	34	Mozabite	0.293	0.704	0.002	0.001	0
1258	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1258	34	Mozabite	0.139	0.854	0.002	0.004	0.001
1259	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1259	34	Mozabite	0.121	0.871	0.004	0.002	0.002
1260	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1260	34	Mozabite	0.236	0.757	0.003	0.002	0.001
1261	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1261	34	Mozabite	0.393	0.603	0.001	0.001	0.001
1262	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1262	34	Mozabite	0.195	0.796	0.003	0.005	0.001
1263	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1263	34	Mozabite	0.165	0.825	0.004	0.003	0.003
1264	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1264	34	Mozabite	0.158	0.838	0.001	0.001	0.002
1265	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1265	34	Mozabite	0.158	0.835	0.003	0.003	0.001
1266	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1266	34	Mozabite	0.252	0.744	0.002	0.001	0.001
1267	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1267	34	Mozabite	0.152	0.799	0.003	0.045	0.001
1268	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1268	34	Mozabite	0.25	0.741	0.002	0.001	0.005
1269	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1269	34	Mozabite	0.182	0.805	0.003	0.001	0.008
1270	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1270	34	Mozabite	0.645	0.331	0.006	0.014	0.003
1271	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1271	34	Mozabite	0.512	0.482	0.001	0.002	0.002
1272	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1272	34	Mozabite	0.246	0.748	0.003	0.001	0.002
1273	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1273	34	Mozabite	0.178	0.816	0.003	0.001	0.002
1274	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1274	34	Mozabite	0.259	0.738	0.001	0.001	0.001
1275	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1275	34	Mozabite	0.218	0.777	0.003	0.002	0.001
1276	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1276	34	Mozabite	0.243	0.745	0.003	0.009	0.001
1277	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	1	1	0	1	1	1277	34	Mozabite	0.124	0.845	0.022	0.006	0.003
1278	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1278	34	Mozabite	0.226	0.772	0.001	0.001	0.001
1279	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1279	34	Mozabite	0.113	0.881	0.003	0.001	0.002
1280	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	0	0	0	1	1	1280	34	Mozabite	0.183	0.815	0.001	0.001	0.001
1281	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	f	1	1	1	1	1	0	0	0	0	0	1281	34	Mozabite	0.195	0.801	0.002	0.001	0.001
1282	34	Mozabite	Algeria-Mzab	MIDDLE_EAST	m	1	1	1	1	1	1	1	0	1	1	1282	34	Mozabite	0.164	0.833	0.001	0.001	0.001
1283	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1283	464	Mandenka	0.985	0.002	0.005	0.007	0.001
1284	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1284	464	Mandenka	0.985	0.003	0.002	0.008	0.002
1285	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1285	464	Mandenka	0.99	0.003	0.002	0.004	0.001
1286	464	Mandenka	Senegal	AFRICA	m	1	1	1	1	1	1	1	0	1	1	1286	464	Mandenka	0.984	0.003	0.005	0.002	0.006
1287	602	Han-NChina	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1287	602	Han-NChina	0.001	0.001	0.988	0.008	0.002
1288	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1288	602	Han-NChina	0.005	0.014	0.978	0.001	0.002
1289	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1289	602	Han-NChina	0.001	0.069	0.918	0.006	0.006
1290	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1290	602	Han-NChina	0.002	0.007	0.954	0.035	0.003
1291	602	Han-NChina	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1291	602	Han-NChina	0.002	0.015	0.968	0.012	0.002
1292	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1292	602	Han-NChina	0.004	0.016	0.91	0.002	0.068
1293	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1293	602	Han-NChina	0.002	0.001	0.988	0.007	0.001
1294	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1294	602	Han-NChina	0.002	0.008	0.973	0.015	0.003
1295	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1295	602	Han-NChina	0.001	0.001	0.992	0.003	0.004
1296	602	Han-NChina	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1296	602	Han-NChina	0.002	0.022	0.953	0.007	0.016
1297	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1297	629	Uygur	0.003	0.477	0.497	0.023	0
1298	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1298	629	Uygur	0.003	0.536	0.43	0.003	0.029
1299	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1299	629	Uygur	0.002	0.425	0.536	0.025	0.012
1300	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1300	629	Uygur	0.001	0.409	0.561	0.001	0.028
1301	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1301	629	Uygur	0.002	0.536	0.456	0.002	0.004
1302	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1302	629	Uygur	0.001	0.371	0.618	0.007	0.003
1303	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1303	629	Uygur	0.001	0.457	0.54	0.001	0.001
1304	629	Uygur	China	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1304	629	Uygur	0.001	0.433	0.541	0.015	0.01
1305	629	Uygur	China	CENTRAL_SOUTH_ASIA	f	1	1	1	1	1	1	1	0	1	1	1305	629	Uygur	0	0.435	0.561	0.001	0.003
1306	629	Uygur	China	CENTRAL_SOUTH_ASIA	f	1	1	1	1	1	1	1	0	1	1	1306	629	Uygur	0.001	0.5	0.469	0.022	0.009
1307	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1307	606	Dai	0.002	0.004	0.977	0.014	0.003
1308	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1308	606	Dai	0.007	0.002	0.958	0.03	0.002
1309	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1309	606	Dai	0.001	0.001	0.99	0.006	0.001
1310	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1310	606	Dai	0.006	0.004	0.983	0.002	0.006
1311	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1311	606	Dai	0.004	0.002	0.991	0.002	0.002
1312	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1312	606	Dai	0.001	0.004	0.988	0.001	0.006
1313	606	Dai	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1313	606	Dai	0.001	0.001	0.993	0.003	0.001
1314	606	Dai	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1314	606	Dai	0.002	0.013	0.959	0.024	0.002
1315	606	Dai	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1315	606	Dai	0.005	0.013	0.973	0.007	0.002
1316	606	Dai	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1316	606	Dai	0.001	0.015	0.935	0.045	0.004
1317	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1317	611	Lahu	0.001	0.001	0.993	0.005	0.001
1318	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1318	611	Lahu	0.001	0.003	0.991	0.002	0.003
1319	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1319	611	Lahu	0.002	0.002	0.92	0.074	0.002
1320	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1320	611	Lahu	0.002	0.005	0.987	0.004	0.002
1321	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	0	0	0	1	1	1321	611	Lahu	0.003	0.002	0.993	0.001	0.001
1322	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1322	611	Lahu	0.002	0.005	0.985	0.002	0.006
1323	611	Lahu	China	EAST_ASIA	f	1	1	1	1	1	0	0	1	1	1	1323	611	Lahu	0.001	0.001	0.993	0.004	0.001
1324	611	Lahu	China	EAST_ASIA	f	1	1	1	1	1	0	0	1	0	0	1324	611	Lahu	0.001	0.001	0.969	0.027	0.001
1325	611	Lahu	China	EAST_ASIA	f	1	1	1	1	1	0	0	0	0	0	1325	611	Lahu	0.012	0.002	0.984	0.002	0.001
1326	611	Lahu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1326	611	Lahu	0.002	0.003	0.99	0.003	0.002
1327	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1327	615	She	0	0.001	0.997	0.001	0
1328	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1328	615	She	0.001	0.001	0.995	0.002	0.001
1329	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1329	615	She	0.001	0.001	0.996	0.001	0.001
1330	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1330	615	She	0.001	0.001	0.989	0.002	0.006
1331	615	She	China	EAST_ASIA	m	1	0	1	1	1	1	1	0	1	1	1331	615	She	NA	NA	NA	NA	NA
1332	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1332	615	She	0.001	0.001	0.986	0.01	0.002
1333	615	She	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1333	615	She	0.001	0.001	0.996	0.001	0.001
1334	615	She	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1334	615	She	0.001	0.001	0.995	0.002	0.001
1335	615	She	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1335	615	She	0.003	0.002	0.988	0.004	0.004
1336	615	She	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1336	615	She	0.002	0.001	0.991	0.003	0.002
1337	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1337	625	Naxi	0.002	0.002	0.956	0.002	0.038
1338	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1338	625	Naxi	0.002	0.02	0.968	0.004	0.006
1339	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1339	625	Naxi	0.001	0.004	0.988	0.001	0.007
1340	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	0	0	0	1	1	1340	625	Naxi	0.001	0.001	0.994	0.002	0.001
1341	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1341	625	Naxi	0.002	0.006	0.978	0.007	0.007
1342	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1342	625	Naxi	0.006	0.004	0.981	0.008	0.001
1343	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	0	0	0	0	0	1343	625	Naxi	0	0.001	0.992	0.001	0.005
1344	625	Naxi	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1344	625	Naxi	0.003	0.003	0.977	0.016	0.001
1345	625	Naxi	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1345	625	Naxi	0.001	0.002	0.991	0.005	0.001
1346	625	Naxi	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1346	625	Naxi	0.001	0.042	0.931	0.022	0.005
1347	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1347	617	Tu	0.029	0.012	0.95	0.007	0.002
1348	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1348	617	Tu	0.001	0.028	0.893	0.075	0.003
1349	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1349	617	Tu	0.002	0.041	0.935	0.002	0.02
1350	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1350	617	Tu	0.018	0.024	0.944	0.002	0.012
1351	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1351	617	Tu	0.004	0.1	0.884	0.011	0.002
1352	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1352	617	Tu	0.001	0.004	0.986	0.005	0.003
1353	617	Tu	China	EAST_ASIA	m	1	1	1	1	1	1	1	0	1	1	1353	617	Tu	0.003	0.046	0.928	0.004	0.018
1354	617	Tu	China	EAST_ASIA	f	1	1	1	1	1	1	1	0	1	1	1354	617	Tu	0.002	0.023	0.968	0.003	0.003
